City,Date,Time,Panel area (m^2),Tilt (deg),Azimuth (deg),Solar Irradiance (W/m^2),DNI (W/m^2),Temperature (C),Humidity (%),Wind Speed (m/s),Power Generated (kW),Power Consumed (kW),Cloud Cover
0,2025-03-15,00:00,-0.1596291911027846,1.4014793558033607,0.9128369620545131,-0.7230760573412045,-0.7188733436599897,1.0128155178598286,-0.1617303590730021,0.6665336023713538,-0.635744393989083,-1.190828250538405,Fluffy white clouds
1,2025-03-15,00:00,1.3431327898668657,-0.6601319180409897,-1.2646061716566372,-0.7230760573412045,-0.7188733436599897,0.8757079484515119,1.0367937321121152,-0.6072354297115125,-0.635744393989083,-0.4196142173575664,Mid-level clouds
2,2025-03-15,00:00,-0.9757505802455708,0.7271205279103488,0.6398440915593828,-0.7230760573412045,-0.7188733436599897,0.8414310560994321,-2.0064152646361832,-1.7878018496907542,-0.635744393989083,-1.1519026211034096,Mid-level clouds
3,2025-03-15,00:00,-0.3106901213046945,-1.103282004942112,0.477348335312282,-0.7230760573412045,-0.7188733436599897,0.3958314555224012,-0.7870472762130634,-0.7315055791830117,-0.635744393989083,-0.6531679939675363,Thin high clouds
4,2025-03-15,00:00,0.7231944269603254,1.1317358246461562,0.6268444310596155,-0.7230760573412045,-0.7188733436599897,0.7386003790431929,-1.4957397823051328,-0.565812046554346,-0.635744393989083,-0.31256873641133,Mid-level clouds
5,2025-03-15,00:00,-1.4995592602963494,-0.4867253622970726,0.8673381503053239,-0.7230760573412045,-0.7188733436599897,0.2587238861140833,0.974262040398109,0.2937231539568565,-0.635744393989083,-1.5800845448883547,Mid-level clouds
6,2025-03-15,00:00,1.7001858976168345,0.0720290950999947,-0.7251202609162637,-0.7230760573412045,-0.7188733436599897,0.6700465943390357,-1.1205496320210964,0.8425829807893108,-0.635744393989083,-0.1179405892363548,Thin high clouds
7,2025-03-15,00:00,0.7604692019452126,-1.0069450295288245,-0.738119921416031,-0.7230760573412045,-0.7188733436599897,2.589552566055476,1.2243888072541331,0.2212322334318155,-0.635744393989083,0.0110005582670658,Fluffy white clouds
8,2025-03-15,00:00,1.3882548859012016,-0.0821100655612652,0.457848844562631,-0.7230760573412045,-0.7188733436599897,0.6014928096348762,-0.3284815369770186,-1.539261550747756,-0.635744393989083,0.2323900756785998,Thin high clouds
9,2025-03-15,00:00,0.6623776888270893,1.478548936133991,0.6983425638083395,-0.7230760573412045,-0.7188733436599897,-0.255429499167106,-0.9329545568790776,-1.17680694812255,-0.635744393989083,-0.154433366831663,Mid-level clouds
10,2025-03-15,00:00,-0.0948887924448231,0.7463879229930065,-0.6861212794169599,-0.7230760573412045,-0.7188733436599897,0.2244469937620047,0.6199157873520745,1.0600557423644348,-0.635744393989083,-0.5607196240594233,Fluffy white clouds
11,2025-03-15,00:00,-1.61138358525101,-0.9298754491981944,-0.7771189029153348,-0.7230760573412045,-0.7188733436599897,0.5329390249307179,-0.6619838927850515,-1.5703290881156309,-0.635744393989083,-2.0009679131542377,Fluffy white clouds
12,2025-03-15,00:00,1.5962088937116234,-0.640864522958332,0.4188498630633254,-0.7230760573412045,-0.7188733436599897,-0.0840450374067095,-1.2664569126871106,0.8322271350000195,-0.635744393989083,0.3905254452582669,Fluffy white clouds
13,2025-03-15,00:00,0.2445078429438836,-0.2169818311398675,0.8803378108050931,-0.7230760573412045,-0.7188733436599897,-0.0497681450546298,-0.0991986673589958,0.9979206676286853,-0.635744393989083,-0.594779549815044,Fluffy white clouds
14,2025-03-15,00:00,-0.9698650894584834,1.1895380098941288,0.0938583505691238,-0.7230760573412045,-0.7188733436599897,0.6357697019869559,1.6100009061571714,-2.719827970726998,-0.635744393989083,-1.7187570997505242,Fluffy white clouds
15,2025-03-15,00:00,1.2528885977981918,-0.6601319180409897,-0.8811161869134808,-0.7230760573412045,-0.7188733436599897,-0.2897063915191846,1.068059577969118,0.9254297471036436,-0.635744393989083,-0.4001514026400689,Mid-level clouds
16,2025-03-15,00:00,-0.838422461880198,0.7849227131583214,1.5628199870429162,-0.7230760573412045,-0.7188733436599897,1.6983533649014144,-0.5577644065950413,-0.8454198828652192,-0.635744393989083,-0.7748105859518958,Mid-level clouds
17,2025-03-15,00:00,1.549124967414924,1.8446294427044827,-0.6341226374178869,-0.7230760573412045,-0.7188733436599897,1.0128155178598286,1.1931229613971306,0.2626556165889814,-0.635744393989083,-0.31256873641133,Mid-level clouds
18,2025-03-15,00:00,0.2150803890084466,0.0912964901826517,2.011308274284913,-0.7230760573412045,-0.7188733436599897,0.7386003790431929,0.9951059376361114,-0.7315055791830117,-0.635744393989083,-0.93537880737125,Mid-level clouds
19,2025-03-15,00:00,-1.7801009878141822,-0.0050404852306356,-1.0436119431605817,-0.7230760573412045,-0.7188733436599897,1.5612457954930976,-0.3180595883580174,-2.7612513538841643,-0.635744393989083,-1.9304152098033096,Mid-level clouds
20,2025-03-15,00:00,-0.4087816344228178,0.0912964901826517,1.530320835793496,-0.7230760573412045,-0.7188733436599897,0.4301083478744797,-0.8495789679270697,-0.1722899065612655,-0.635744393989083,-0.962140177607809,Mid-level clouds
